7777770,111119,'economy_electric',9999990,'2019-11-23','12:00:00','2019-12-12','12:00:00','Downtown','Vancouver'
7777771,111130,'economy_gas',9999991,'2019-11-25','12:00:00','2019-12-01','4:00:00','Midtown','Vancouver'
7777772,111141,'economy_hybrid',9999992,'2019-11-25','15:00:00','2019-11-30','15:00:00','Downtown','Surrey'
7777773,111152,'compact_electric',9999993,'2019-11-25','12:00:00','2019-11-30','12:00:00','Downtown','Burnaby'
7777774,111163,'compact_gas',9999994,'2019-11-27','12:00:00','2019-11-30','8:00:00','Midtown','Vancouver'
7777775,111174,'compact_hybrid',9999995,'2019-11-27','12:00:00','2019-11-30','8:00:00','Midtown','Burnaby'
7777776,111185,'midsize_electric',9999996,'2019-11-27','17:00:00','2019-11-30','12:00:00','Midtown','Surrey'
7777777,111196,'midsize_gas',9999997,'2019-11-27','8:00:00','2019-12-05','11:00:00','Downtown','Surrey'
7777778,111207,'midsize_hybrid',9999998,'2019-11-28','16:00:00','2019-12-02','12:00:00','Downtown','Vancouver'
7777779,111218,'standard_electric',9999999,'2019-11-23','12:00:00','2019-11-28','13:00:00','Midtown','Surrey'
7777780,111229,'standard_gas',9999910,'2019-11-27','6:00:00','2019-11-29','8:00:00','Downtown','Burnaby'
7777781,111240,'standard_hybrid',9999911,'2019-11-27','16:00:00','2019-11-30','8:00:00','Midtown','Burnaby'
7777782,111251,'fullsize_electric',9999912,'2019-11-26','16:00:00','2019-11-29','8:00:00','Downtown','Vancouver'
7777783,111262,'fullsize_gas',9999913,'2019-11-28','16:00:00','2019-12-12','17:00:00','Downtown','Surrey'
7777784,111273,'fullsize_hybrid',9999914,'2019-11-28','23:00:00','2019-12-12','15:00:00','Midtown','Burnaby'
7777785,111284,'suv_electric',9999915,'2019-11-29','15:00:00','2019-12-12','8:00:00','Midtown','Vancouver'
7777786,111295,'suv_gas',9999916,'2019-12-02','5:00:00','2019-12-10','8:00:00','Downtown','Burnaby'
7777787,111306,'suv_hybrid',9999917,'2019-12-02','8:00:00','2019-12-11','8:00:00','Midtown','Surrey'
7777788,111317,'truck_electric',9999918,'2019-12-02','13:00:00','2019-12-12','18:00:00','Downtown','Burnaby'
7777789,111328,'truck_gas',9999918,'2019-12-02','18:00:00','2019-12-12','8:00:00','Midtown','Vancouver'
